파일명,파일크기(Kb),카메라제조사,f수,ISO감도,촬영일자,촬영시각,이미지크기,위도,경도
대구광역시 달성군_사문진나루터_360 VR 이미지데이터_주막촌_1,1115,Canon,11,100,2022-09-29,10:36:00,2160x1080,35.81123333,128.4773861
대구광역시 달성군_사문진나루터_360 VR 이미지데이터_주막촌_2,1633,Canon,11,100,2022-09-29,10:12:00,2160x1080,35.81071945,128.4779972
대구광역시 달성군_사문진나루터_360 VR 이미지데이터_주막촌_3,1640,Canon,11,100,2022-09-29,10:12:00,2160x1080,35.81071945,128.4779972
대구광역시 달성군_사문진나루터_360 VR 이미지데이터_주막촌_4,1645,Canon,11,100,2022-09-29,10:13:00,2160x1080,35.81080555,128.4779195
대구광역시 달성군_사문진나루터_360 VR 이미지데이터_주막촌_5,1778,Canon,11,100,2022-09-29,10:14:00,2160x1080,35.81080555,128.4779195
대구광역시 달성군_사문진나루터_360 VR 이미지데이터_주막촌_6,1911,Canon,11,100,2022-09-29,10:14:00,2160x1080,35.81080555,128.4779195
대구광역시 달성군_사문진나루터_360 VR 이미지데이터_주막촌_7,1777,Canon,11,100,2022-09-29,10:15:00,2160x1080,35.81088333,128.4778611
대구광역시 달성군_사문진나루터_360 VR 이미지데이터_주막촌_8,1585,Canon,11,100,2022-09-29,10:16:00,2160x1080,35.81088333,128.4778611
대구광역시 달성군_사문진나루터_360 VR 이미지데이터_주막촌_9,1651,Canon,11,100,2022-09-29,10:17:00,2160x1080,35.81096388,128.4777972
대구광역시 달성군_사문진나루터_360 VR 이미지데이터_주막촌_10,1639,Canon,11,100,2022-09-29,10:18:00,2160x1080,35.81096388,128.4777972
대구광역시 달성군_사문진나루터_360 VR 이미지데이터_주막촌_11,1705,Canon,11,100,2022-09-29,10:19:00,2160x1080,35.81095555,128.4776778
대구광역시 달성군_사문진나루터_360 VR 이미지데이터_주막촌_12,1561,Canon,11,100,2022-09-29,10:20:00,2160x1080,35.81098055,128.4779056
대구광역시 달성군_사문진나루터_360 VR 이미지데이터_주막촌_13,1565,Canon,11,100,2022-09-29,10:20:00,2160x1080,35.81101945,128.477875
대구광역시 달성군_사문진나루터_360 VR 이미지데이터_주막촌_14,1729,Canon,11,100,2022-09-29,10:21:00,2160x1080,35.81114167,128.4778889
대구광역시 달성군_사문진나루터_360 VR 이미지데이터_주막촌_15,1668,Canon,11,100,2022-09-29,10:22:00,2160x1080,35.81114167,128.4778889
대구광역시 달성군_사문진나루터_360 VR 이미지데이터_주막촌_16,1641,Canon,11,100,2022-09-29,10:23:00,2160x1080,35.81114722,128.4778639
대구광역시 달성군_사문진나루터_360 VR 이미지데이터_주막촌_17,1516,Canon,11,100,2022-09-29,10:23:00,2160x1080,35.81116112,128.4777833
대구광역시 달성군_사문진나루터_360 VR 이미지데이터_주막촌_18,1397,Canon,11,100,2022-09-29,10:25:00,2160x1080,35.81120278,128.4776611
대구광역시 달성군_사문진나루터_360 VR 이미지데이터_주막촌_19,1443,Canon,11,100,2022-09-29,10:25:00,2160x1080,35.81120278,128.4776611
대구광역시 달성군_사문진나루터_360 VR 이미지데이터_주막촌_20,1470,Canon,11,100,2022-09-29,10:26:00,2160x1080,35.81112778,128.4776139
대구광역시 달성군_사문진나루터_360 VR 이미지데이터_주막촌_21,2300,Canon,11,100,2022-09-29,10:28:00,2160x1080,35.81113333,128.4775222
대구광역시 달성군_사문진나루터_360 VR 이미지데이터_주막촌_22,2100,Canon,11,100,2022-09-29,10:29:00,2160x1080,35.81113612,128.4774945
대구광역시 달성군_사문진나루터_360 VR 이미지데이터_주막촌_23,1331,Canon,11,100,2022-09-29,10:31:00,2160x1080,35.81119167,128.4775861
대구광역시 달성군_사문진나루터_360 VR 이미지데이터_주막촌_24,1326,Canon,11,100,2022-09-29,10:32:00,2160x1080,35.81116388,128.477601
대구광역시 달성군_사문진나루터_360 VR 이미지데이터_주막촌_25,1331,Canon,11,100,2022-09-29,10:33:00,2160x1080,35.81116112,128.4775695
대구광역시 달성군_사문진나루터_360 VR 이미지데이터_주막촌_26,1349,Canon,11,100,2022-09-29,10:37:00,2160x1080,35.81118333,128.4772806
대구광역시 달성군_사문진나루터_360 VR 이미지데이터_주막촌_27,1258,Canon,11,100,2022-09-29,10:38:00,2160x1080,35.81118333,128.4772806
대구광역시 달성군_사문진나루터_360 VR 이미지데이터_주막촌_28,1343,Canon,11,100,2022-09-29,10:39:00,2160x1080,35.81118333,128.4772806
대구광역시 달성군_사문진나루터_360 VR 이미지데이터_주막촌_29,1324,Canon,11,100,2022-09-29,10:40:00,2160x1080,35.81123055,128.4773722
대구광역시 달성군_사문진나루터_360 VR 이미지데이터_주막촌_30,1314,Canon,11,100,2022-09-29,10:41:00,2160x1080,35.81123612,128.4774945
대구광역시 달성군_사문진나루터_360 VR 이미지데이터_주막촌_31,1343,Canon,11,100,2022-09-29,10:42:00,2160x1080,35.81123612,128.4774945
대구광역시 달성군_사문진나루터_360 VR 이미지데이터_주막촌_32,1437,Canon,11,100,2022-09-29,10:43:00,2160x1080,35.81131667,128.4775389
대구광역시 달성군_사문진나루터_360 VR 이미지데이터_주막촌_33,1275,Canon,11,100,2022-09-29,10:44:00,2160x1080,35.81140833,128.4775556
대구광역시 달성군_사문진나루터_360 VR 이미지데이터_주막촌_34,1261,Canon,11,100,2022-09-29,10:46:00,2160x1080,35.81140833,128.4775556
대구광역시 달성군_사문진나루터_360 VR 이미지데이터_주막촌_35,1415,Canon,11,100,2022-09-29,10:46:00,2160x1080,35.81146112,128.4776611
대구광역시 달성군_사문진나루터_360 VR 이미지데이터_주막촌_36,1534,Canon,11,100,2022-09-29,10:48:00,2160x1080,35.811551,128.4776917
